Kontonr;Bogført dato;Navn;Leverandørnr;Posteringstekst;Nettobeløb;Beløb;Afdelingsnr;Bilagsidentifikation;Regnskabsår;Udbetalt dato;Kassenr;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 29;-2.763,00;-2.763,00;34010;2509161758023372792;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 30;-3.155,00;-3.155,00;34010;2509161758023372792;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 31;-3.313,00;-3.313,00;34010;2509161758023372792;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 32;-3.629,00;-3.629,00;34010;2509161758023372792;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 33;-3.480,00;-3.480,00;34010;2509161758023820794;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 34;-3.119,00;-3.119,00;34010;2509161758023820794;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 35;-3.305,00;-3.305,00;34010;2509161758023820794;2025;;111;;;;;
527-32-080-05;16-09-2025;;;Salg restaurant uge 36;-3.502,00;-3.502,00;34010;2509161758023820794;2025;;111;;;;;
527-32-080-05;15-09-2025;;;Salg restaurant uge 22;-2.733,00;-2.733,00;34010;2509151757937164265;2025;;111;;;;;
527-32-080-05;15-09-2025;;;Salg restaurant uge 23;-3.927,00;-3.927,00;34010;2509151757937164265;2025;;111;;;;;
527-32-080-05;15-09-2025;;;Salg restaurant uge 24;-2.830,00;-2.830,00;34010;2509151757937164265;2025;;111;;;;;
527-32-080-05;15-09-2025;;;Salg restaurant uge 25;-2.714,00;-2.714,00;34010;2509151757937164265;2025;;111;;;;;
527-32-080-05;15-09-2025;;;Salg restaurant uge 26;-3.251,50;-3.251,50;34010;2509151757937164265;2025;;111;;;;;
527-32-080-05;23-06-2025;;;Salg restaurant uge 21;-3.219,20;-3.219,20;34010;2506231750663745083;2025;;111;;;;;
527-32-080-05;11-06-2025;;;Salg restaurant uge 19;-4.963,00;-4.963,00;34010;2506111749633482685;2025;;111;;;;;
527-32-080-05;11-06-2025;;;Salg restaurant uge 20;-3.605,00;-3.605,00;34010;2506111749634396687;2025;;111;;;;;
527-32-080-05;15-05-2025;;;Salg restaurant 17;-3.584,00;-3.584,00;34010;2505151747295160348;2025;;111;;;;;
527-32-080-05;15-05-2025;;;Salg restaurant 18;-3.928,00;-3.928,00;34010;2505151747295160348;2025;;111;;;;;
527-32-080-05;29-04-2025;;;Salg restaurant 12;-5.585,00;-5.585,00;34010;2504291745916356439;2025;;111;;;;;
527-32-080-05;29-04-2025;;;salg restaurant 13;-3.913,00;-3.913,00;34010;2504291745916356439;2025;;111;;;;;
527-32-080-05;29-04-2025;;;Salg restaurant 14;-4.430,00;-4.430,00;34010;2504291745916356439;2025;;111;;;;;
527-32-080-05;29-04-2025;;;Salg restaurant 15;-6.919,00;-6.919,00;34010;2504291745916356439;2025;;111;;;;;
527-32-080-05;29-04-2025;;;Salg restaurant 16;-2.083,00;-2.083,00;34010;2504291745916356439;2025;;111;;;;;
527-32-080-05;26-03-2025;;;Salg restaurant 11;-4.093,00;-4.093,00;34010;2503261742991491755;2025;;111;;;;;
527-32-080-05;20-03-2025;;;Salg restuarant uge 10;-3.886,00;-3.886,00;34010;2503201742467715354;2025;;111;;;;;
527-32-080-05;10-03-2025;;;Salg restaurant uge 9;-5.171,00;-5.171,00;34010;2503101741597939574;2025;;111;;;;;
